Disease,Specialist_1,Specialist_2,Specialist_3,Specialist_4,Specialist_5,Specialist_6,Specialist_7,Specialist_8,Specialist_9,Specialist_10,Specialist_11,Specialist_12,Specialist_13,Specialist_14,Specialist_15,Specialist_16,Specialist_17,Specialist_18,Specialist_19,Specialist_20,Specialist_21,Specialist_22,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28,Symptom_29,Symptom_30,Symptom_31,Symptom_32,Symptom_33,Symptom_34,Symptom_35,Symptom_36,Symptom_37,Symptom_38,Symptom_39,Symptom_40,Symptom_41,Symptom_42,Symptom_43,Symptom_44,Symptom_45,Symptom_46,Symptom_47,Symptom_48,Symptom_49,Symptom_50,Symptom_51,Symptom_52,Symptom_53,Symptom_54,Symptom_55,Symptom_56,Symptom_57,Symptom_58,Symptom_59,Symptom_60,Symptom_61,Symptom_62,Symptom_63,Symptom_64,Symptom_65,Symptom_66,Symptom_67,Symptom_68,Symptom_69,Symptom_70,Symptom_71,Symptom_72,Symptom_73,Symptom_74,Symptom_75,Symptom_76
hypertensive disease,Cardiologist,,,,,,,,,,,,,,,,,,,,,,pain chest,shortness of breath,dizziness,asthenia,fall,syncope,vertigo,sweat,sweating increased,palpitation,nausea,angina pectoris,pressure chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diabetes,Endocrinologist,Family Physician,Optometrist,Interventional Cardiologist,General Surgeon,Internist,Transplant Surgeon,Metabolic Surgeon,Psychologist,Pediatric Endocrinologist,,,,,,,,,,,,,polyuria,polydypsia,shortness of breath,pain chest,asthenia,nausea,orthopnea,rale,sweat,sweating increased,unresponsiveness,mental status changes,vertigo,vomiting,labored breathing,weight gain,thirst,symptoms of the kidneys,increased thirst,frequent urination,extreme hunger,unexplained weight loss,presence of ketones in the urine (ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin),fatigue,irritability,blurred vision,slow-healing sores,"frequent infections, such as gums or skin infections and vaginal infections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depression mental,Psychiatrist,Psychologist,,,,,,,,,,,,,,,,,,,,,feeling suicidal,suicidal,hallucinations auditory,feeling hopeless,weepiness,sleeplessness,motor retardation,irritable mood,blackout,mood depressed,hallucinations visual,worry,agitation,tremor,intoxication,verbal auditory hallucinations,energy increased,difficulty,nightmare,unable to concentrate,homelessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coronary heart disease,Cardiologist,,,,,,,,,,,,,,,,,,,,,,pain chest,angina pectoris,shortness of breath,hypokinesia,sweat,sweating increased,pressure chest,dyspnea on exertion,orthopnea,chest tightness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pneumonia,Pulmonologist,Respirologist,Pediatric Infectious Disease Specialist,Internist,Hospitalist,,,,,,,,,,,,,,,,,,cough,fever,decreased translucency,shortness of breath,rale,productive cough,pleuritic pain,yellow sputum,breath sounds decreased,chill,rhonchus,green sputum,non-productive cough,wheezing,haemoptysis,distress respiratory,tachypnea,malaise,night sweat,sharp chest pain,nasal congestion,difficulty breathing,vomiting,weakness,sore throat,coryza,chills,fatigue,high fever,breathlessness,sweating,chest pain,fast heart rate,rusty sputum,phlegm,chest pain when you breathe or cough,confusion or changes in mental awareness (in adults age 65 and older),"cough, which may produce phlegm","fever, sweating and shaking chills",lower than normal body temperature (in adults older than age 65 and people with weak immune systems),"nausea, vomiting or diarrhea",adults older than age 65,children younger than age 2 with signs and symptoms,people with an underlying health condition or weakened immune system,people receiving chemotherapy or taking medication that suppresses the immune system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asthma,Clinical Immunologist,Allergist,Allergist-Immunologist,Pulmonologist,Pediatrician,Internist,Hospitalist,,,,,,,,,,,,,,,,wheezing,cough,shortness of breath,chest tightness,non-productive cough,pleuritic pain,productive cough,symptom aggravating factors,distress respiratory,difficulty breathing,nasal congestion,fever,sharp chest pain,coryza,allergic reaction,coughing up sputum,congestion in chest,chest tightness or pain,"wheezing when exhaling, which is a common sign of asthma in children","trouble sleeping caused by shortness of breath, coughing or wheezing","coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu",asthma signs and symptoms that are more frequent and bothersome,"increasing difficulty breathing, as measured with a device used to check how well your lungs are working (peak flow meter)",the need to use a quick-relief inhaler more often,"exercise-induced asthma, which may be worse when the air is cold and dry","occupational asthma, triggered by workplace irritants such as chemical fumes, gases or dust","allergy-induced asthma, triggered by airborne substances, such as pollen, mold spores, cockroach waste, or particles of skin and dried saliva shed by pets (pet dander)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myocardial infarction,Cardiologist,,,,,,,,,,,,,,,,,,,,,,pain chest,st segment elevation,sweat,sweating increased,shortness of breath,st segment depression,hypokinesia,angina pectoris,pressure chest,t wave inverted,orthopnea,rale,chest tightness,presence of q wave,palpitation,dyspnea,chest discomfort,bradycardia,syncope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anemia,Hematologist,Hematologist / Oncologist,Pediatric Hematologist / Oncologist,Pediatric Psychologist,Gastroenterologist,,,,,,,,,,,,,,,,,,chill,guaiac positive,monoclonal,ecchymosis,tumor cell invasion,haemorrhage,pallor,asthenia,fatigue,heme positive,pain back,orthostasis,hyponatremia,dizziness,shortness of breath,pain,rhonchus,arthralgia,swelling,transaminitis,weakness,nosebleed,heavy menstrual flow,melena,unpredictable menstruation,vomiting blood,changes in stool appearance,recent pregnancy,too little hair,pale or yellowish skin,irregular heartbeats,dizziness or lightheadedness,chest pain,cold hands and feet,headaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dementia,Neurologist,,,,,,,,,,,,,,,,,,,,,,fever,fall,unresponsiveness,lethargy,agitation,ecchymosis,syncope,rale,unconscious state,cough,bedridden,pain,facial paresis,abdominal tenderness,rhonchus,unsteady gait,hallucinations auditory,disturbance of memory,problems with movement,dizziness,depressive or psychotic symptoms,abnormal involuntary movements,paresthesia,hostile behavior,delusions or hallucinations,difficulty speaking,insomnia,disturbance of smell or taste,focal weakness,memory loss and confusion,poor judgement,diffculty speaking,repeating questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypothyroidism,Endocrinologist,,,,,,,,,,,,,,,,,,,,,,shortness of breath,prostatism,drowsiness,sleepy,hyponatremia,fall,unsteady gait,polyuria,hypotension,difficulty,syncope,nightmare,speech slurred,weight gain,asthenia,fatigue,tired,agitation,mental status changes,motor retardation,vomiting,numbness,mass of body structure,too little hair,muscle pain,hot flashes,leg cramps or spasms,absence of menstruation,poor circulation,wrist swelling,feeling cold,thirst,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation,increased sensitivity to cold,constipation,dry skin,puffy face,hoarseness,muscle weakness,elevated blood cholesterol level,"muscle aches, tenderness and stiffness","pain, stiffness or swelling in your joints",heavier than normal or irregular menstrual periods,thinning hair,slowed heart rate,impaired memory,enlarged thyroid gland (goiter),,,,,,,,,,,,,,,,,,,
gerd,Gastroenterologist,General Surgeon,Internist,Family Physician,Thoracic Surgeon,Pediatric Surgeon,,,,,,,,,,,,,,,,,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,"a burning sensation in your chest (heartburn), usually after eating, which might be worse at night",difficulty swallowing,regurgitation of food or sour liquid,sensation of a lump in your throat,chronic cough,laryngitis,new or worsening asthma,disrupted sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stroke,Neurologist,Neurosurgeon,Emergency Medicine Physician,Physiatrist,Pediatric Hematologist / Oncologist,Interventional Cardiologist,,,,,,,,,,,,,,,,,focal weakness,dizziness,headache,loss of sensation,weakness,problems with movement,slurring words,difficulty speaking,depressive or psychotic symptoms,seizures,abnormal involuntary movements,disturbance of memory,"trouble speaking and understanding what others are saying - you may experience confusion, slur words or have difficulty understanding speech","paralysis or numbness of the face, arm or leg - you may develop sudden numbness, weakness or paralysis in the face, arm or leg; this often affects just one side of the body; try to raise both your arms over your head at the same time; if one arm begins to fall, you may be having a stroke; also, one side of your mouth may droop when you try to smile","problems seeing in one or both eyes - you may suddenly have blurred or blackened vision in one or both eyes, or you may see double","headache - a sudden, severe headache, which may be accompanied by vomiting, dizziness or altered consciousness, may indicate that you're having a stroke",trouble walking - you may stumble or lose your balance; you may also have sudden dizziness or a loss of coordination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
migraine,Neurologist,,,,,,,,,,,,,,,,,,,,,,headache,nausea,vomiting,dizziness,diminished vision,disturbance of memory,spots or clouds in vision,symptoms of the face,blindness,long menstrual periods,acidity,indigestion,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, glossary
appendicitis,General Surgeon,,,,,,,,,,,,,,,,,,,,,,sharp abdominal pain,lower abdominal pain,vomiting,nausea,fever,burning abdominal pain,side pain,diarrhea,upper abdominal pain,chills,decreased appetite,stomach bloating,sudden pain that begins on the right side of the lower abdomen,sudden pain that begins around your navel and often shifts to your lower right abdomen,"pain that worsens if you cough, walk or make other jarring movements",nausea and vomiting,loss of appetite,low-grade fever that may worsen as the illness progresses,constipation or diarrhea,abdominal bloating,flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kidney stone,Urologist,Nephrologist,,,,,,,,,,,,,,,,,,,,,side pain,sharp abdominal pain,back pain,vomiting,nausea,blood in urine,lower abdominal pain,low back pain,painful urination,frequent urination,retention of urine,suprapubic pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperthyroidism,Urologist,Endocrinologist,Endocrine Surgeon,Radiologist,Family Physician,Public Health and General Preventive Medicine Specialist,,,,,,,,,,,,,,,,,fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation,"unintentional weight loss, even when your appetite and food intake stay the same or increase",rapid heartbeat (tachycardia) - commonly more than 100 beats a minute,irregular heartbeat (arrhythmia),pounding of your heart (palpitations),increased appetite,"nervousness, anxiety and irritability",tremor - usually a fine trembling in your hands and fingers,changes in menstrual patterns,increased sensitivity to heat,"changes in bowel patterns, especially more frequent bowel movements","an enlarged thyroid gland (goiter), which may appear as a swelling at the base of your neck","fatigue, muscle weakness",difficulty sleeping,skin thinning,"fine, brittle hair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osteoarthritis,Rheumatologist,Primary Care Physician,Orthopedic Surgeon,PM&R Physician,Physiatrist,Sports Medicine Specialist,Neurologist,Radiologist,Plastic Surgeon,Hand Surgeon,,,,,,,,,,,,,knee pain,hip pain,shoulder pain,back pain,leg pain,hand or finger pain,joint pain,knee swelling,ankle pain,elbow pain,muscle pain,knee weakness,pain - affected joints might hurt during or after movement,stiffness - joint stiffness might be most noticeable upon awakening or after being inactive,tenderness - your joint might feel tender when you apply light pressure to or near it,loss of flexibility - you might not be able to move your joint through its full range of motion,"grating sensation - you might feel a grating sensation when you use the joint, and you might hear popping or crackling","bone spurs - these extra bits of bone, which feel like hard lumps, can form around the affected joint",swelling - this might be caused by soft tissue inflammation around the joint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
